Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0001899.3, Number of genes: 8
Cluster: BGC0001923.3, Number of genes: 8
Cluster: BGC0001928.2, Number of genes: 8
Cluster: BGC0002093.2, Number of genes: 8
Cluster: BGC0002095.3, Number of genes: 8
Cluster: BGC0002110.3, Number of genes: 8
Cluster: BGC0002125.3, Number of genes: 8
Cluster: BGC0002132.3, Number of genes: 8
Cluster: BGC0002139.3, Number of genes: 8
Cluster: BGC0002172.3, Number of genes: 8
Cluster: BGC0002190.2, Number of genes: 8
Cluster: BGC0002197.2, Number of genes: 8
Cluster: BGC0002207.2, Number of genes: 8
Cluster: BGC0002210.3, Number of genes: 8
Cluster: BGC0002225.3, Number of genes: 8
Cluster: BGC0002234.3, Number of genes: 8
Cluster: BGC0002248.3, Number of genes: 8
Cluster: BGC0002255.3, Number of genes: 8
Cluster: BGC0002316.2, Number of genes: 8
Cluster: BGC0002323.2, Number of genes: 8
Cluster: BGC0002464.3, Number of genes: 8
Cluster: BGC0002465.2, Number of genes: 8
Cluster: BGC0002488.3, Number of genes: 8
Cluster: BGC0002522.3, Number of genes: 8
Cluster: BGC0002528.3, Number of genes: 8
Cluster: BGC0002535.2, Number of genes: 8
Cluster: BGC0002548.2, Number of genes: 8
Cluster: BGC0002554.2, Number of genes: 8
Cluster: BGC0002626.2, Number of genes: 8
Cluster: BGC0002633.2, Number of genes: 8
Cluster: BGC0002651.2, Number of genes: 8
Cluster: BGC0002665.2, Number of genes: 8
Cluster: BGC0002682.2, Number of genes: 8
Cluster: BGC0002690.2, Number of genes: 8
Cluster: BGC0002691.2, Number of genes: 8
Cluster: BGC0002704.2, Number of genes: 8
Cluster: BGC0002710.2, Number of genes: 8
Cluster: BGC0002752.2, Number of genes: 8
Cluster: BGC0002775.1, Number of genes: 8
Cluster: BGC0002779.1, Number of genes: 8
Cluster: BGC0002871.1, Number of genes: 8
Cluster: BGC0002918.1, Number of genes: 8
Cluster: BGC0003019.1, Number of genes: 8
Cluster: BGC0003028.1, Number of genes: 8
Cluster: BGC0003088.1, Number of genes: 8
Cluster: BGC0000030.3, Number of genes: 7
Cluster: BGC0000072.5, Number of genes: 7
Cluster: BGC0000094.5, Number of genes: 7
Cluster: BGC0000113.5, Number of genes: 7
Cluster: BGC0000166.5, Number of genes: 7
Cluster: BGC0000215.5, Number of genes: 7
Cluster: BGC0000234.5, Number of genes: 7
Cluster: BGC0000272.3, Number of genes: 7
Cluster: BGC0000302.5, Number of genes: 7
Cluster: BGC0000309.5, Number of genes: 7
Cluster: BGC0000332.4, Number of genes: 7
Cluster: BGC0000349.5, Number of genes: 7
Cluster: BGC0000391.5, Number of genes: 7
Cluster: BGC0000397.5, Number of genes: 7
Cluster: BGC0000420.5, Number of genes: 7
Cluster: BGC0000430.5, Number of genes: 7
Cluster: BGC0000436.5, Number of genes: 7
Cluster: BGC0000480.5, Number of genes: 7
Cluster: BGC0000491.5, Number of genes: 7
Cluster: BGC0000494.5, Number of genes: 7
Cluster: BGC0000500.5, Number of genes: 7
Cluster: BGC0000507.5, Number of genes: 7
Cluster: BGC0000518.3, Number of genes: 7
Cluster: BGC0000528.5, Number of genes: 7
Cluster: BGC0000534.3, Number of genes: 7
Cluster: BGC0000541.5, Number of genes: 7
Cluster: BGC0000542.3, Number of genes: 7
Cluster: BGC0000552.3, Number of genes: 7
Cluster: BGC0000553.3, Number of genes: 7
Cluster: BGC0000567.3, Number of genes: 7
Cluster: BGC0000568.5, Number of genes: 7
Cluster: BGC0000574.3, Number of genes: 7
Cluster: BGC0000577.3, Number of genes: 7
Cluster: BGC0000585.5, Number of genes: 7
Cluster: BGC0000591.5, Number of genes: 7
Cluster: BGC0000599.5, Number of genes: 7
Cluster: BGC0000601.4, Number of genes: 7
Cluster: BGC0000631.5, Number of genes: 7
Cluster: BGC0000642.3, Number of genes: 7
Cluster: BGC0000650.3, Number of genes: 7
Cluster: BGC0000664.5, Number of genes: 7
Cluster: BGC0000671.3, Number of genes: 7
Cluster: BGC0000684.4, Number of genes: 7
Cluster: BGC0000687.4, Number of genes: 7
Cluster: BGC0000688.4, Number of genes: 7
Cluster: BGC0000740.3, Number of genes: 7
Cluster: BGC0000741.3, Number of genes: 7
Cluster: BGC0000744.3, Number of genes: 7
Cluster: BGC0000745.3, Number of genes: 7
Cluster: BGC0000746.3, Number of genes: 7
Cluster: BGC0000747.3, Number of genes: 7
Cluster: BGC0000748.3, Number of genes: 7
Cluster: BGC0000778.3, Number of genes: 7
Cluster: BGC0000816.5, Number of genes: 7
Cluster: BGC0000867.3, Number of genes: 7
Cluster: BGC0000869.5, Number of genes: 7
Cluster: BGC0000894.4, Number of genes: 7
Cluster: BGC0000908.3, Number of genes: 7
Cluster: BGC0000936.5, Number of genes: 7
Cluster: BGC0000968.5, Number of genes: 7
Cluster: BGC0000977.4, Number of genes: 7
Cluster: BGC0000989.3, Number of genes: 7
Cluster: BGC0000996.5, Number of genes: 7
Cluster: BGC0001024.5, Number of genes: 7
Cluster: BGC0001047.4, Number of genes: 7
Cluster: BGC0001065.5, Number of genes: 7
Cluster: BGC0001077.4, Number of genes: 7
Cluster: BGC0001146.5, Number of genes: 7
Cluster: BGC0001174.4, Number of genes: 7
Cluster: BGC0001184.4, Number of genes: 7
Cluster: BGC0001219.3, Number of genes: 7
Cluster: BGC0001222.3, Number of genes: 7
Cluster: BGC0001260.3, Number of genes: 7
Cluster: BGC0001286.3, Number of genes: 7
Cluster: BGC0001294.5, Number of genes: 7
Cluster: BGC0001307.3, Number of genes: 7
Cluster: BGC0001336.5, Number of genes: 7
Cluster: BGC0001399.4, Number of genes: 7
Cluster: BGC0001404.3, Number of genes: 7
Cluster: BGC0001408.5, Number of genes: 7
Cluster: BGC0001432.4, Number of genes: 7
Cluster: BGC0001502.4, Number of genes: 7
Cluster: BGC0001516.5, Number of genes: 7
Cluster: BGC0001542.3, Number of genes: 7
Cluster: BGC0001604.3, Number of genes: 7
Cluster: BGC0001615.3, Number of genes: 7
Cluster: BGC0001655.3, Number of genes: 7
Cluster: BGC0001660.3, Number of genes: 7
Cluster: BGC0001677.3, Number of genes: 7
Cluster: BGC0001713.5, Number of genes: 7
Cluster: BGC0001717.4, Number of genes: 7
Cluster: BGC0001738.3, Number of genes: 7
Cluster: BGC0001743.3, Number of genes: 7
Cluster: BGC0001756.3, Number of genes: 7
Cluster: BGC0001793.4, Number of genes: 7
Cluster: BGC0001795.3, Number of genes: 7
Cluster: BGC0001838.4, Number of genes: 7
Cluster: BGC0001842.4, Number of genes: 7
Cluster: BGC0001896.4, Number of genes: 7
Cluster: BGC0001905.4, Number of genes: 7
Cluster: BGC0001962.3, Number of genes: 7
Cluster: BGC0002073.3, Number of genes: 7
Cluster: BGC0002126.3, Number of genes: 7
Cluster: BGC0002165.3, Number of genes: 7
Cluster: BGC0002181.3, Number of genes: 7
Cluster: BGC0002188.3, Number of genes: 7
Cluster: BGC0002212.3, Number of genes: 7
Cluster: BGC0002216.3, Number of genes: 7
Cluster: BGC0002229.2, Number of genes: 7
Cluster: BGC0002257.2, Number of genes: 7
Cluster: BGC0002258.3, Number of genes: 7
Cluster: BGC0002268.3, Number of genes: 7
Cluster: BGC0002304.3, Number of genes: 7
Cluster: BGC0002318.2, Number of genes: 7
Cluster: BGC0002319.3, Number of genes: 7
Cluster: BGC0002352.2, Number of genes: 7
Cluster: BGC0002354.4, Number of genes: 7
Cluster: BGC0002407.3, Number of genes: 7
Cluster: BGC0002415.2, Number of genes: 7
Cluster: BGC0002462.3, Number of genes: 7
Cluster: BGC0002472.2, Number of genes: 7
Cluster: BGC0002505.3, Number of genes: 7
Cluster: BGC0002524.2, Number of genes: 7
Cluster: BGC0002525.3, Number of genes: 7
Cluster: BGC0002527.2, Number of genes: 7
Cluster: BGC0002596.2, Number of genes: 7
Cluster: BGC0002603.2, Number of genes: 7
Cluster: BGC0002616.2, Number of genes: 7
Cluster: BGC0002623.2, Number of genes: 7
Cluster: BGC0002629.2, Number of genes: 7
Cluster: BGC0002641.2, Number of genes: 7
Cluster: BGC0002681.3, Number of genes: 7
Cluster: BGC0002698.2, Number of genes: 7
Cluster: BGC0002711.2, Number of genes: 7
Cluster: BGC0002734.2, Number of genes: 7
Cluster: BGC0002915.1, Number of genes: 7
Cluster: BGC0002987.1, Number of genes: 7
Cluster: BGC0003002.1, Number of genes: 7
Cluster: BGC0003037.1, Number of genes: 7
Cluster: BGC0003099.1, Number of genes: 7
Cluster: BGC0003153.1, Number of genes: 7
Cluster: BGC0000003.3, Number of genes: 6
Cluster: BGC0000046.4, Number of genes: 6
Cluster: BGC0000131.5, Number of genes: 6
Cluster: BGC0000146.3, Number of genes: 6
Cluster: BGC0000205.3, Number of genes: 6
Cluster: BGC0000244.4, Number of genes: 6
Cluster: BGC0000280.5, Number of genes: 6
Cluster: BGC0000305.5, Number of genes: 6
Cluster: BGC0000323.5, Number of genes: 6
Cluster: BGC0000348.4, Number of genes: 6
Cluster: BGC0000401.5, Number of genes: 6
Cluster: BGC0000417.5, Number of genes: 6
Cluster: BGC0000435.5, Number of genes: 6
Cluster: BGC0000483.5, Number of genes: 6
Cluster: BGC0000490.5, Number of genes: 6
Cluster: BGC0000499.3, Number of genes: 6
Cluster: BGC0000520.5, Number of genes: 6
Cluster: BGC0000538.3, Number of genes: 6
Cluster: BGC0000543.5, Number of genes: 6
Cluster: BGC0000560.5, Number of genes: 6
Cluster: BGC0000583.5, Number of genes: 6
Cluster: BGC0000616.4, Number of genes: 6
Cluster: BGC0000626.3, Number of genes: 6
Cluster: BGC0000630.3, Number of genes: 6
Cluster: BGC0000638.3, Number of genes: 6
Cluster: BGC0000639.3, Number of genes: 6
Cluster: BGC0000640.3, Number of genes: 6
Cluster: BGC0000641.3, Number of genes: 6
Cluster: BGC0000644.3, Number of genes: 6
Cluster: BGC0000645.3, Number of genes: 6
Cluster: BGC0000646.5, Number of genes: 6
Cluster: BGC0000670.4, Number of genes: 6
Cluster: BGC0000676.5, Number of genes: 6
Cluster: BGC0000737.3, Number of genes: 6
Cluster: BGC0000739.3, Number of genes: 6
Cluster: BGC0000752.3, Number of genes: 6
Cluster: BGC0000754.3, Number of genes: 6
Cluster: BGC0000755.3, Number of genes: 6
Cluster: BGC0000756.3, Number of genes: 6
Cluster: BGC0000841.5, Number of genes: 6
Cluster: BGC0000851.5, Number of genes: 6
Cluster: BGC0000854.3, Number of genes: 6
Cluster: BGC0000861.5, Number of genes: 6
Cluster: BGC0000919.5, Number of genes: 6
Cluster: BGC0000929.3, Number of genes: 6
Cluster: BGC0000940.5, Number of genes: 6
Cluster: BGC0000942.4, Number of genes: 6
Cluster: BGC0000955.5, Number of genes: 6
Cluster: BGC0001026.3, Number of genes: 6
Cluster: BGC0001043.4, Number of genes: 6
Cluster: BGC0001210.5, Number of genes: 6
Cluster: BGC0001218.3, Number of genes: 6
Cluster: BGC0001223.5, Number of genes: 6
Cluster: BGC0001224.5, Number of genes: 6
Cluster: BGC0001245.3, Number of genes: 6
Cluster: BGC0001246.3, Number of genes: 6
Cluster: BGC0001262.3, Number of genes: 6
Cluster: BGC0001305.4, Number of genes: 6
Cluster: BGC0001315.3, Number of genes: 6
Cluster: BGC0001356.4, Number of genes: 6
Cluster: BGC0001453.5, Number of genes: 6
Cluster: BGC0001463.4, Number of genes: 6
Cluster: BGC0001464.3, Number of genes: 6
Cluster: BGC0001489.3, Number of genes: 6
Cluster: BGC0001499.5, Number of genes: 6
Cluster: BGC0001531.5, Number of genes: 6
Cluster: BGC0001545.3, Number of genes: 6
Cluster: BGC0001573.3, Number of genes: 6
Cluster: BGC0001587.5, Number of genes: 6
Cluster: BGC0001631.4, Number of genes: 6
Cluster: BGC0001632.3, Number of genes: 6
Cluster: BGC0001633.3, Number of genes: 6
Cluster: BGC0001659.3, Number of genes: 6
Cluster: BGC0001665.3, Number of genes: 6
Cluster: BGC0001722.3, Number of genes: 6
Cluster: BGC0001733.3, Number of genes: 6
Cluster: BGC0001775.3, Number of genes: 6
Cluster: BGC0001779.5, Number of genes: 6
Cluster: BGC0001794.4, Number of genes: 6
Cluster: BGC0001824.4, Number of genes: 6
Cluster: BGC0001831.3, Number of genes: 6
Cluster: BGC0001849.4, Number of genes: 6
Cluster: BGC0001858.2, Number of genes: 6
Cluster: BGC0001880.3, Number of genes: 6
Cluster: BGC0001888.2, Number of genes: 6
Cluster: BGC0001907.2, Number of genes: 6
Cluster: BGC0001954.2, Number of genes: 6
Cluster: BGC0001992.3, Number of genes: 6
Cluster: BGC0001994.4, Number of genes: 6
Cluster: BGC0002004.3, Number of genes: 6
Cluster: BGC0002018.3, Number of genes: 6
Cluster: BGC0002048.3, Number of genes: 6
Cluster: BGC0002049.3, Number of genes: 6
Cluster: BGC0002051.2, Number of genes: 6
Cluster: BGC0002092.3, Number of genes: 6
Cluster: BGC0002103.2, Number of genes: 6
Cluster: BGC0002144.3, Number of genes: 6
Cluster: BGC0002167.2, Number of genes: 6
Cluster: BGC0002199.2, Number of genes: 6
Cluster: BGC0002203.2, Number of genes: 6
Cluster: BGC0002208.3, Number of genes: 6
Cluster: BGC0002237.3, Number of genes: 6
Cluster: BGC0002272.2, Number of genes: 6
Cluster: BGC0002289.2, Number of genes: 6
Cluster: BGC0002305.2, Number of genes: 6
Cluster: BGC0002328.3, Number of genes: 6
Cluster: BGC0002348.2, Number of genes: 6
Cluster: BGC0002365.2, Number of genes: 6
Cluster: BGC0002394.2, Number of genes: 6
Cluster: BGC0002424.3, Number of genes: 6
Cluster: BGC0002427.2, Number of genes: 6
Cluster: BGC0002474.2, Number of genes: 6
Cluster: BGC0002480.2, Number of genes: 6
Cluster: BGC0002490.2, Number of genes: 6
Cluster: BGC0002507.3, Number of genes: 6
Cluster: BGC0002512.3, Number of genes: 6
Cluster: BGC0002557.2, Number of genes: 6
Cluster: BGC0002602.2, Number of genes: 6
Cluster: BGC0002604.2, Number of genes: 6
Cluster: BGC0002609.2, Number of genes: 6
Cluster: BGC0002620.2, Number of genes: 6
Cluster: BGC0002635.2, Number of genes: 6
Cluster: BGC0002639.2, Number of genes: 6
Cluster: BGC0002643.2, Number of genes: 6
Cluster: BGC0002646.3, Number of genes: 6
Cluster: BGC0002648.2, Number of genes: 6
Cluster: BGC0002699.2, Number of genes: 6
Cluster: BGC0002825.2, Number of genes: 6
Cluster: BGC0002847.1, Number of genes: 6
Cluster: BGC0002851.1, Number of genes: 6
Cluster: BGC0002864.1, Number of genes: 6
Cluster: BGC0002897.1, Number of genes: 6
Cluster: BGC0002914.1, Number of genes: 6
Cluster: BGC0002940.1, Number of genes: 6
Cluster: BGC0002949.1, Number of genes: 6
Cluster: BGC0002956.1, Number of genes: 6
Cluster: BGC0003054.1, Number of genes: 6
Cluster: BGC0003077.1, Number of genes: 6
Cluster: BGC0003089.1, Number of genes: 6
Cluster: BGC0003103.1, Number of genes: 6
Cluster: BGC0003169.1, Number of genes: 6
Cluster: BGC0000012.3, Number of genes: 5
Cluster: BGC0000018.5, Number of genes: 5
Cluster: BGC0000134.3, Number of genes: 5
Cluster: BGC0000156.5, Number of genes: 5
Cluster: BGC0000174.5, Number of genes: 5
Cluster: BGC0000231.5, Number of genes: 5
Cluster: BGC0000278.3, Number of genes: 5
Cluster: BGC0000287.5, Number of genes: 5
Cluster: BGC0000301.5, Number of genes: 5
Cluster: BGC0000355.5, Number of genes: 5
Cluster: BGC0000375.5, Number of genes: 5
Cluster: BGC0000400.5, Number of genes: 5
Cluster: BGC0000408.5, Number of genes: 5
Cluster: BGC0000412.5, Number of genes: 5
Cluster: BGC0000442.5, Number of genes: 5
Cluster: BGC0000449.5, Number of genes: 5
Cluster: BGC0000486.4, Number of genes: 5
Cluster: BGC0000496.5, Number of genes: 5
Cluster: BGC0000501.3, Number of genes: 5
Cluster: BGC0000504.5, Number of genes: 5
Cluster: BGC0000517.4, Number of genes: 5
Cluster: BGC0000519.4, Number of genes: 5
Cluster: BGC0000550.3, Number of genes: 5
Cluster: BGC0000554.4, Number of genes: 5
Cluster: BGC0000575.5, Number of genes: 5
Cluster: BGC0000576.3, Number of genes: 5
Cluster: BGC0000584.5, Number of genes: 5
Cluster: BGC0000590.5, Number of genes: 5
Cluster: BGC0000592.5, Number of genes: 5
Cluster: BGC0000617.5, Number of genes: 5
Cluster: BGC0000675.5, Number of genes: 5
Cluster: BGC0000742.3, Number of genes: 5
Cluster: BGC0000743.3, Number of genes: 5
Cluster: BGC0000753.3, Number of genes: 5
Cluster: BGC0000757.3, Number of genes: 5
Cluster: BGC0000779.3, Number of genes: 5
Cluster: BGC0000798.3, Number of genes: 5
Cluster: BGC0000829.5, Number of genes: 5
Cluster: BGC0000831.3, Number of genes: 5
Cluster: BGC0000857.3, Number of genes: 5
Cluster: BGC0000860.3, Number of genes: 5
Cluster: BGC0000871.4, Number of genes: 5
Cluster: BGC0000888.5, Number of genes: 5
Cluster: BGC0000909.3, Number of genes: 5
Cluster: BGC0000923.3, Number of genes: 5
Cluster: BGC0000933.3, Number of genes: 5
Cluster: BGC0000941.3, Number of genes: 5
Cluster: BGC0000946.5, Number of genes: 5
Cluster: BGC0001012.3, Number of genes: 5
Cluster: BGC0001030.3, Number of genes: 5
Cluster: BGC0001037.5, Number of genes: 5
Cluster: BGC0001051.5, Number of genes: 5
Cluster: BGC0001136.4, Number of genes: 5
Cluster: BGC0001144.4, Number of genes: 5
Cluster: BGC0001149.5, Number of genes: 5
Cluster: BGC0001153.5, Number of genes: 5
Cluster: BGC0001176.4, Number of genes: 5
Cluster: BGC0001185.5, Number of genes: 5
Cluster: BGC0001192.5, Number of genes: 5
Cluster: BGC0001290.4, Number of genes: 5
Cluster: BGC0001304.3, Number of genes: 5
Cluster: BGC0001341.4, Number of genes: 5
Cluster: BGC0001363.5, Number of genes: 5
Cluster: BGC0001375.4, Number of genes: 5
Cluster: BGC0001400.3, Number of genes: 5
Cluster: BGC0001467.5, Number of genes: 5
Cluster: BGC0001549.3, Number of genes: 5
Cluster: BGC0001550.3, Number of genes: 5
Cluster: BGC0001551.4, Number of genes: 5
Cluster: BGC0001554.3, Number of genes: 5
Cluster: BGC0001606.3, Number of genes: 5
Cluster: BGC0001627.4, Number of genes: 5
Cluster: BGC0001634.3, Number of genes: 5
Cluster: BGC0001638.4, Number of genes: 5
Cluster: BGC0001639.3, Number of genes: 5
Cluster: BGC0001645.3, Number of genes: 5
Cluster: BGC0001718.4, Number of genes: 5
Cluster: BGC0001768.4, Number of genes: 5
Cluster: BGC0001817.5, Number of genes: 5
Cluster: BGC0001834.4, Number of genes: 5
Cluster: BGC0001839.3, Number of genes: 5
Cluster: BGC0001862.4, Number of genes: 5
Cluster: BGC0001878.2, Number of genes: 5
Cluster: BGC0001889.2, Number of genes: 5
Cluster: BGC0001929.2, Number of genes: 5
Cluster: BGC0001974.2, Number of genes: 5
Cluster: BGC0001986.3, Number of genes: 5
Cluster: BGC0002005.2, Number of genes: 5
Cluster: BGC0002017.3, Number of genes: 5
Cluster: BGC0002020.3, Number of genes: 5
Cluster: BGC0002031.3, Number of genes: 5
Cluster: BGC0002035.3, Number of genes: 5
Cluster: BGC0002056.3, Number of genes: 5
Cluster: BGC0002138.2, Number of genes: 5
Cluster: BGC0002161.2, Number of genes: 5
Cluster: BGC0002186.2, Number of genes: 5
Cluster: BGC0002187.3, Number of genes: 5
Cluster: BGC0002211.3, Number of genes: 5
Cluster: BGC0002260.3, Number of genes: 5
Cluster: BGC0002266.3, Number of genes: 5
Cluster: BGC0002295.3, Number of genes: 5
Cluster: BGC0002298.2, Number of genes: 5
Cluster: BGC0002402.2, Number of genes: 5
Cluster: BGC0002445.3, Number of genes: 5
Cluster: BGC0002515.2, Number of genes: 5
Cluster: BGC0002529.3, Number of genes: 5
Cluster: BGC0002573.2, Number of genes: 5
Cluster: BGC0002577.2, Number of genes: 5
Cluster: BGC0002582.3, Number of genes: 5
Cluster: BGC0002583.2, Number of genes: 5
Cluster: BGC0002598.2, Number of genes: 5
Cluster: BGC0002605.2, Number of genes: 5
Cluster: BGC0002606.2, Number of genes: 5
Cluster: BGC0002607.2, Number of genes: 5
Cluster: BGC0002645.3, Number of genes: 5
Cluster: BGC0002653.2, Number of genes: 5
Cluster: BGC0002659.2, Number of genes: 5
Cluster: BGC0002660.2, Number of genes: 5
Cluster: BGC0002674.2, Number of genes: 5
Cluster: BGC0002707.2, Number of genes: 5
Cluster: BGC0002826.2, Number of genes: 5
Cluster: BGC0002849.1, Number of genes: 5
Cluster: BGC0002878.1, Number of genes: 5
Cluster: BGC0002887.1, Number of genes: 5
Cluster: BGC0002899.1, Number of genes: 5
Cluster: BGC0002900.1, Number of genes: 5
Cluster: BGC0002901.1, Number of genes: 5
Cluster: BGC0002954.1, Number of genes: 5
Cluster: BGC0002966.1, Number of genes: 5
Cluster: BGC0002968.1, Number of genes: 5
Cluster: BGC0003007.1, Number of genes: 5
Cluster: BGC0003010.1, Number of genes: 5
Cluster: BGC0003041.1, Number of genes: 5
Cluster: BGC0003047.1, Number of genes: 5
Cluster: BGC0003050.1, Number of genes: 5
Cluster: BGC0003060.1, Number of genes: 5
Cluster: BGC0003076.1, Number of genes: 5
Cluster: BGC0003126.1, Number of genes: 5
Cluster: BGC0003154.1, Number of genes: 5
Cluster: BGC0003170.1, Number of genes: 5
Cluster: BGC0000043.5, Number of genes: 4
Cluster: BGC0000067.5, Number of genes: 4
Cluster: BGC0000331.4, Number of genes: 4
Cluster: BGC0000343.5, Number of genes: 4
Cluster: BGC0000384.6, Number of genes: 4
Cluster: BGC0000396.5, Number of genes: 4
Cluster: BGC0000402.4, Number of genes: 4
Cluster: BGC0000427.5, Number of genes: 4
Cluster: BGC0000467.5, Number of genes: 4
Cluster: BGC0000513.3, Number of genes: 4
Cluster: BGC0000551.5, Number of genes: 4
Cluster: BGC0000563.4, Number of genes: 4
Cluster: BGC0000570.3, Number of genes: 4
Cluster: BGC0000571.3, Number of genes: 4
Cluster: BGC0000572.5, Number of genes: 4
Cluster: BGC0000580.3, Number of genes: 4
Cluster: BGC0000581.6, Number of genes: 4
Cluster: BGC0000608.5, Number of genes: 4
Cluster: BGC0000657.5, Number of genes: 4
Cluster: BGC0000667.3, Number of genes: 4
Cluster: BGC0000669.3, Number of genes: 4
Cluster: BGC0000674.5, Number of genes: 4
Cluster: BGC0000677.5, Number of genes: 4
Cluster: BGC0000751.3, Number of genes: 4
Cluster: BGC0000817.4, Number of genes: 4
Cluster: BGC0000830.5, Number of genes: 4
Cluster: BGC0000853.3, Number of genes: 4
Cluster: BGC0000855.3, Number of genes: 4
Cluster: BGC0000856.3, Number of genes: 4
Cluster: BGC0000858.3, Number of genes: 4
Cluster: BGC0000859.3, Number of genes: 4
Cluster: BGC0000863.3, Number of genes: 4
Cluster: BGC0000866.5, Number of genes: 4
Cluster: BGC0000870.5, Number of genes: 4
Cluster: BGC0000902.4, Number of genes: 4
Cluster: BGC0000917.3, Number of genes: 4
Cluster: BGC0000918.3, Number of genes: 4
Cluster: BGC0000924.5, Number of genes: 4
Cluster: BGC0000944.5, Number of genes: 4
Cluster: BGC0001049.4, Number of genes: 4
Cluster: BGC0001209.3, Number of genes: 4
Cluster: BGC0001226.4, Number of genes: 4
Cluster: BGC0001229.4, Number of genes: 4
Cluster: BGC0001306.3, Number of genes: 4
Cluster: BGC0001361.3, Number of genes: 4
Cluster: BGC0001446.5, Number of genes: 4
Cluster: BGC0001475.4, Number of genes: 4
Cluster: BGC0001478.5, Number of genes: 4
Cluster: BGC0001493.5, Number of genes: 4
Cluster: BGC0001506.5, Number of genes: 4
Cluster: BGC0001507.3, Number of genes: 4
Cluster: BGC0001517.3, Number of genes: 4
Cluster: BGC0001528.4, Number of genes: 4
Cluster: BGC0001534.3, Number of genes: 4
Cluster: BGC0001539.4, Number of genes: 4
Cluster: BGC0001548.4, Number of genes: 4
Cluster: BGC0001552.3, Number of genes: 4
Cluster: BGC0001555.4, Number of genes: 4
Cluster: BGC0001572.3, Number of genes: 4
Cluster: BGC0001683.3, Number of genes: 4
Cluster: BGC0001684.3, Number of genes: 4
Cluster: BGC0001699.4, Number of genes: 4
Cluster: BGC0001725.3, Number of genes: 4
Cluster: BGC0001781.4, Number of genes: 4
Cluster: BGC0001841.2, Number of genes: 4
Cluster: BGC0001843.2, Number of genes: 4
Cluster: BGC0001989.3, Number of genes: 4
Cluster: BGC0001998.2, Number of genes: 4
Cluster: BGC0002006.2, Number of genes: 4
Cluster: BGC0002052.3, Number of genes: 4
Cluster: BGC0002053.3, Number of genes: 4
Cluster: BGC0002074.2, Number of genes: 4
Cluster: BGC0002134.4, Number of genes: 4
Cluster: BGC0002158.2, Number of genes: 4
Cluster: BGC0002173.2, Number of genes: 4
Cluster: BGC0002194.3, Number of genes: 4
Cluster: BGC0002227.3, Number of genes: 4
Cluster: BGC0002230.2, Number of genes: 4
Cluster: BGC0002242.2, Number of genes: 4
Cluster: BGC0002245.2, Number of genes: 4
Cluster: BGC0002259.2, Number of genes: 4
Cluster: BGC0002271.2, Number of genes: 4
Cluster: BGC0002283.2, Number of genes: 4
Cluster: BGC0002301.2, Number of genes: 4
Cluster: BGC0002309.2, Number of genes: 4
Cluster: BGC0002311.3, Number of genes: 4
Cluster: BGC0002312.2, Number of genes: 4
Cluster: BGC0002321.3, Number of genes: 4
Cluster: BGC0002322.3, Number of genes: 4
Cluster: BGC0002403.2, Number of genes: 4
Cluster: BGC0002404.2, Number of genes: 4
Cluster: BGC0002405.2, Number of genes: 4
Cluster: BGC0002423.3, Number of genes: 4
Cluster: BGC0002489.2, Number of genes: 4
Cluster: BGC0002493.3, Number of genes: 4
Cluster: BGC0002580.2, Number of genes: 4
Cluster: BGC0002700.2, Number of genes: 4
Cluster: BGC0002721.2, Number of genes: 4
Cluster: BGC0002724.2, Number of genes: 4
Cluster: BGC0002749.2, Number of genes: 4
Cluster: BGC0002812.2, Number of genes: 4
Cluster: BGC0002852.1, Number of genes: 4
Cluster: BGC0002855.1, Number of genes: 4
Cluster: BGC0002890.1, Number of genes: 4
Cluster: BGC0002903.1, Number of genes: 4
Cluster: BGC0002943.1, Number of genes: 4
Cluster: BGC0002989.1, Number of genes: 4
Cluster: BGC0002990.1, Number of genes: 4
Cluster: BGC0002996.1, Number of genes: 4
Cluster: BGC0003004.1, Number of genes: 4
Cluster: BGC0003015.1, Number of genes: 4
Cluster: BGC0003069.1, Number of genes: 4
Cluster: BGC0003080.1, Number of genes: 4
Cluster: BGC0000016.4, Number of genes: 3
Cluster: BGC0000056.3, Number of genes: 3
Cluster: BGC0000282.3, Number of genes: 3
Cluster: BGC0000293.3, Number of genes: 3
Cluster: BGC0000351.5, Number of genes: 3
Cluster: BGC0000353.5, Number of genes: 3
Cluster: BGC0000393.5, Number of genes: 3
Cluster: BGC0000416.5, Number of genes: 3
Cluster: BGC0000438.5, Number of genes: 3
Cluster: BGC0000485.5, Number of genes: 3
Cluster: BGC0000510.3, Number of genes: 3
Cluster: BGC0000525.5, Number of genes: 3
Cluster: BGC0000558.5, Number of genes: 3
Cluster: BGC0000593.4, Number of genes: 3
Cluster: BGC0000618.3, Number of genes: 3
Cluster: BGC0000623.3, Number of genes: 3
Cluster: BGC0000656.5, Number of genes: 3
Cluster: BGC0000673.3, Number of genes: 3
Cluster: BGC0000701.5, Number of genes: 3
Cluster: BGC0000749.3, Number of genes: 3
Cluster: BGC0000850.5, Number of genes: 3
Cluster: BGC0000852.5, Number of genes: 3
Cluster: BGC0000884.5, Number of genes: 3
Cluster: BGC0000901.5, Number of genes: 3
Cluster: BGC0000927.3, Number of genes: 3
Cluster: BGC0000945.3, Number of genes: 3
